Reason,Source,Validation,Pages
Not found (404),Website,Not Started,41
Excluded by ‘noindex’ tag,Website,Not Started,7
Page with redirect,Website,Not Started,3
Alternate page with proper canonical tag,Website,Not Started,3
Blocked due to other 4xx issue,Website,Not Started,1
Duplicate without user-selected canonical,Website,Not Started,1
Crawled - currently not indexed,Google systems,Not Started,54
Blocked due to access forbidden (403),Website,N/A,0
Blocked by robots.txt,Website,N/A,0
Discovered - currently not indexed,Google systems,Passed,48
